H3K4me3 WT nuclear genes	cdkc2 nuclear genes	WT ATXR3-marked	cdkc2 ATXR3-marked	WT ATXR3-bound	cdkc2 ATXR3-bound
0.791410885234854	0.784589802360783	1.88371520784734	1.75918360287442	1.69507823950243	1.56818364613312
0.760284406345524	0.751796693811151	1.75444469129146	1.63352031656806	1.5791479779379	1.45357149667374
0.729705008578668	0.71972087321065	1.63589405465024	1.52120079486408	1.47527424280936	1.36012913691605
0.698236451680527	0.687283366559051	1.52587640500606	1.41995915917291	1.38321073166479	1.27396347312167
0.667176766372414	0.656451181676009	1.4274105393737	1.33425794487019	1.2994087467707	1.20639400789138
0.634513287928772	0.624941250648109	1.33818467118061	1.24849198668912	1.22011557739034	1.13426532101554
0.606586866217347	0.593812861862404	1.26373379833838	1.17041898790412	1.15560742606696	1.07442570653495
0.586818719375912	0.573332599243554	1.20808444242783	1.1180572880343	1.10194976229308	1.02578158434909
0.581644974481766	0.568006448999188	1.18594681545457	1.10181986827166	1.07271948258575	1.00255515639508
0.579040021934858	0.564825855724796	1.158663395212	1.07180773563911	1.04220651272946	0.970377873170802
0.58483485967824	0.570670190872493	1.13745462370792	1.05468573981835	1.01920567669589	0.947096219863556
0.601255459045491	0.587156484744528	1.1347963604525	1.05166875763583	1.0130388272142	0.945430794998262
0.628481414738472	0.613485011248255	1.13880969436606	1.06136261860952	1.02055276949351	0.958102890433887
0.667071488144425	0.650962784443109	1.15855850614304	1.0750849612074	1.04584658815804	0.979402974816951
0.716483076747262	0.698942750104087	1.18355915295623	1.10159584260831	1.0837356780886	1.01659601779391
0.778015093846507	0.758487266733401	1.22318284980017	1.14621822736038	1.13457473920924	1.07023604202476
0.849956227089151	0.830332832608108	1.2869890943454	1.20623629724196	1.19816287369992	1.14143696331336
0.929329772225959	0.908168390466583	1.35203360155027	1.27929660241051	1.27680533240569	1.22353473263238
1.01302566361856	0.99286926735775	1.42899255482924	1.35443306468172	1.36978882524834	1.31168445691268
1.09748880861736	1.0788687758389	1.50418556736125	1.4345760405552	1.45608207657696	1.40259348982589
1.18359894496426	1.16463664381201	1.58162092638538	1.51143188365752	1.54870329493963	1.49563268928901
1.26650150447886	1.24931228809993	1.65867154227891	1.5882036834397	1.63502217957018	1.58690461243515
1.3461828672479	1.32907674698683	1.72507745995807	1.65858602367273	1.72376844697335	1.67295707605469
1.42242459154902	1.40380532073001	1.7960143118554	1.72129648802275	1.80376781842098	1.7455258040302
1.49271962883083	1.4734046419662	1.86103658401897	1.78581326873339	1.86975032277374	1.81635894652935
1.55825890627919	1.53533366776137	1.91644484271678	1.84230955542058	1.93523869767178	1.87906303629892
1.61626526768408	1.59514769023932	1.97534691043691	1.90186648876662	1.98952789951765	1.94035083286768
1.66787757045292	1.64745252736749	2.02584589282218	1.95307228370108	2.04793849534048	1.99568715640735
1.71061624829919	1.69174363155266	2.05942350205734	1.99104550774618	2.08620955268766	2.03971010186952
