ID	ATX1-TAG-rep2	ATX2-TAG-rep2	ATX3-TAG-rep2	ATX4-TAG-rep2	ATX5-TAG-rep2	ATXR3-TAG-rep2	ATXR7-TAG-rep2	WT-rep2	
AT1G02880	5.2012	6.05347	2.66204	4.67291	4.49047	3.8697	4.25875	3.42858	
AT1G02890	0.851105	3.58884	2.2525	1.46601	1.83701	0.8833	3.05425	1.89891	
AT1G02900	1.56036	2.46463	4.58691	5.68079	2.85757	2.56578	3.52745	2.37363	
AT1G02910	0.992956	4.41038	3.11254	3.29852	4.59253	3.36495	3.57047	5.1165	
AT1G02920	2.55332	2.37815	2.45727	3.98572	2.80655	2.9864	2.27994	0.896706	
AT1G02930	3.40442	2.68082	2.33441	3.43596	3.16374	3.36495	2.49502	3.37583	
AT1G02940	3.40442	2.24843	3.48113	2.79458	4.5415	2.73402	3.26934	3.1121	
AT1G02950	5.7686	2.7673	3.48113	1.14532	3.98019	3.57526	2.9252	2.74286	
AT1G02952	2.97887	2.81054	2.74395	4.9936	4.23533	2.27134	3.26934	2.74286	
AT1G02960	1.79678	1.90252	1.76104	2.01576	3.92916	2.94433	4.73194	2.58462	
AT1G02965	3.64084	6.91825	7.6585	5.03941	4.5415	3.70145	5.54928	1.58242	
AT1G02970	2.6006	4.41038	1.84295	1.92414	3.2658	4.08001	4.17271	2.58462	
AT1G02980	3.68812	2.46463	3.97259	3.25271	1.58187	3.61732	3.91461	2.58462	
AT1G02990	3.59356	2.59434	3.48113	2.74877	1.78598	3.11258	4.08668	2.90111	
AT1G03000	1.41851	4.45362	2.62109	3.89409	2.34729	2.73402	3.22632	4.06155	
AT1G03010	2.69517	2.24843	2.04773	2.19902	1.9901	1.34598	2.75313	4.58902	
AT1G03020	2.78973	2.07547	1.14673	0.916256	1.83701	1.55629	3.09727	2.26814	
AT1G03030	2.74245	5.27516	3.27636	2.29064	1.2757	3.36495	4.25875	3.79781	
AT1G03040	2.8843	5.44812	3.48113	2.33645	1.17365	3.19671	4.30177	3.79781	
AT1G03050	3.54627	3.28617	3.56304	2.65714	4.03122	5.13155	2.58106	2.1099	
AT1G03055	3.87726	3.50236	4.25927	2.56552	3.87814	5.2998	2.66709	1.84616	
AT1G03060	4.87021	3.41588	2.82586	3.25271	1.68393	3.70145	4.25875	2.47913	
AT1G03070	1.41851	3.84827	3.03063	3.39015	2.34729	4.79506	3.44141	4.06155	
AT1G03080	1.79678	3.84827	3.39923	3.48177	2.55141	4.62681	4.12969	3.90331	
AT1G03090	5.15392	4.71305	4.505	3.84828	3.87814	9.54805	7.48507	3.37583	
AT1G03100	5.05935	4.58334	3.48113	1.7867	1.32673	7.61321	4.94703	3.69232	
AT1G03103	3.40442	3.84827	3.68591	4.21478	3.92916	2.77609	3.82857	2.32089	
AT1G03106	3.78269	3.93475	3.68591	4.48966	3.72505	2.3134	3.57047	2.1099	
AT1G03110	4.49194	3.50236	3.93163	1.64926	3.11271	1.47217	3.95762	1.52967	
AT1G03120	5.10663	5.5346	7.24895	3.43596	3.72505	19.8953	3.44141	2.69012	
AT1G03130	6.0523	4.49686	6.67559	2.84039	4.13328	24.9427	2.66709	2.84836	
AT1G03140	5.10663	6.83177	5.61077	4.03153	1.9901	28.2656	4.25875	5.38023	
AT1G03150	2.22233	2.16195	3.27636	1.60345	2.39832	2.69196	2.75313	2.53188	
AT1G03160	3.30985	6.74529	3.76782	3.98572	1.22467	3.8697	4.08668	4.58902	
AT1G03165	4.77565	6.39938	4.21832	4.16897	4.64356	2.86021	5.80738	3.05935	
AT1G03170	1.27666	3.7618	3.11254	3.66503	1.02056	3.82763	2.79615	1.42418	
AT1G03180	3.59356	8.0857	7.7404	3.5734	2.60243	2.90227	2.88218	2.63737	
AT1G03190	2.26961	3.5456	4.42309	4.76453	3.72505	2.69196	4.21573	4.0088	
AT1G03200	3.59356	3.71856	6.96227	3.48177	2.39832	2.60784	2.58106	3.37583	
AT1G03210	2.36418	3.80504	4.17736	3.29852	3.52094	4.33238	2.53804	3.74507	
AT1G03220	1.79678	3.19969	2.98968	2.93202	4.08225	2.39753	2.45201	2.79561	
AT1G03230	0.992956	2.03223	0.982908	3.34434	3.31683	2.6499	2.10787	2.90111	
AT1G03240	2.74245	1.55661	1.55627	2.10739	1.58187	1.34598	2.1939	1.74066	
AT1G03250	2.26961	4.62658	5.07836	3.9399	2.50038	2.1031	4.90401	3.79781	
AT1G03260	3.54627	6.35614	9.21477	3.29852	2.04112	4.08001	3.82857	2.0044	
AT1G03270	4.25553	3.67532	3.80877	2.74877	2.50038	2.22928	4.81798	3.27034	
AT1G03280	5.15392	3.80504	3.76782	2.47389	2.44935	2.94433	2.40899	2.90111	
AT1G03290	3.40442	6.35614	8.39568	3.25271	5.20487	5.80454	2.10787	2.47913	
AT1G03300	4.9175	4.23743	3.56304	3.25271	2.24524	3.8697	4.55987	2.53188	
AT1G03310	4.68108	3.58884	2.08868	3.98572	2.04112	3.02846	3.39839	2.74286	
