ID	ATX1-TAG-rep2	ATX2-TAG-rep2	ATX3-TAG-rep2	ATX4-TAG-rep2	ATX5-TAG-rep2	ATXR3-TAG-rep2	ATXR7-TAG-rep2	WT-rep2	
AT1G02350	4.77565	8.12894	17.0371	9.16256	8.98095	9.00125	4.21573	5.96046
AT1G02360	7.37625	10.5936	12.3273	9.43744	6.32749	9.1695	8.21637	7.22639
AT1G02370	21.1358	26.2893	38.4153	22.6315	17.6557	16.5303	16.2607	16.1935
AT1G02380	12.5774	19.8467	17.979	14.6601	12.706	19.8953	12.0449	12.6594
AT1G02390	10.2605	17.5983	20.723	20.1118	18.064	16.5303	20.0892	18.4088
AT1G02400	17.6368	17.555	17.6514	19.2414	16.4821	15.8153	19.7021	13.9253
AT1G02405	7.13983	7.43711	7.69945	6.82611	9.28712	5.67836	7.01188	4.27254
AT1G02410	13.996	23.3058	30.4702	12.7818	8.41964	12.2821	14.4539	12.3429
AT1G02420	10.7334	17.555	23.6717	14.5685	10.0525	13.8384	11.3997	10.4967
AT1G02430	7.70723	10.7665	10.2386	7.65074	6.78674	11.6091	10.8404	8.07035
AT1G02440	9.97685	9.77202	11.1806	8.52118	5.97029	7.02434	10.3673	4.64177
AT1G02450	3.59356	4.66982	8.27281	7.60493	3.36786	3.49114	5.20514	3.48133
AT1G02460	17.4477	18.5063	17.4466	17.0882	13.3694	17.5398	17.4221	15.5605
AT1G02470	7.99093	10.6368	11.3444	11.7281	13.6755	12.7027	15.7875	6.59343
AT1G02475	14.9889	16.5173	17.2419	13.6064	10.4097	14.7637	10.4103	9.38904
AT1G02480	1.08752	1.51337	0.941954	1.14532	1.12262	0.841238	0.817335	2.05715
AT1G02490	2.55332	3.58884	4.9555	5.31429	3.67402	3.07052	3.14029	1.1077
AT1G02500	23.3108	25.511	27.9719	19.1498	16.6862	22.7134	18.7557	17.5649
AT1G02510	13.665	12.4096	13.6379	14.0645	10.3077	8.03382	9.33483	6.85716
AT1G02520	43.7846	45.6604	36.1628	41.598	30.5148	38.9493	40.5226	34.1803
AT1G02530	43.7374	40.2555	37.801	40.0404	30.9741	38.4866	39.4042	30.1715
AT1G02540	9.36216	8.43161	4.54595	7.19261	5.20487	7.86558	11.4427	6.27694
AT1G02550	4.44466	5.66431	8.27281	9.07094	5.2559	7.52908	8.43146	5.06375
AT1G02560	19.7173	24.8192	28.2586	14.0187	16.4821	22.419	20.3043	16.3517
AT1G02570	11.3481	9.12344	7.98613	7.60493	7.24599	8.58063	9.80803	6.43518
AT1G02575	7.56538	9.38287	7.37181	10.5828	8.67478	9.80042	11.7008	9.33629
AT1G02580	26.2897	23.5653	19.6582	29.3202	20.7684	26.3308	28.8218	23.5781
AT1G02590	2.69517	9.59907	5.36504	5.68079	6.27646	5.88867	5.5923	6.90991
AT1G02600	0.425553	1.81604	1.72009	1.09951	1.32673	1.97691	1.33355	2.21539
AT1G02610	15.178	19.1549	16.9961	20.1576	23.2688	40.8001	25.6385	16.6154
AT1G02620	13.9487	21.0142	22.0335	16.9049	12.3488	17.4136	14.4109	10.3912
AT1G02630	15.509	15.4363	10.8529	16.5384	15.1043	12.24	17.2071	9.17805
AT1G02640	21.5613	27.7162	42.8794	28.6788	29.8004	63.892	26.5419	22.2067
AT1G02650	16.6911	19.9764	36.2857	26.5714	19.8499	16.3621	12.9483	12.3429
AT1G02660	18.7716	32.1698	38.4153	22.9064	14.3389	60.6112	24.6491	19.7275
AT1G02670	38.6307	45.7901	38.9887	29.0453	23.9832	33.5654	31.8331	26.9012
AT1G02680	13.8541	19.2414	26.1699	11.9113	12.9101	12.5344	12.217	6.96266
AT1G02681	5.34305	3.37264	7.04418	5.58916	6.5316	5.46805	6.71075	4.58902
AT1G02690	26.2424	42.5472	35.1799	25.701	19.4417	22.1246	26.1117	17.9869
AT1G02700	10.9698	11.1124	12.9007	13.7438	9.69534	11.6511	11.7438	7.80662
AT1G02705	6.38329	8.12894	7.53563	7.87981	6.07235	9.21156	6.66774	5.64397
AT1G02710	4.06639	5.40488	5.03741	4.30641	4.43945	6.43547	2.96822	1.63517
AT1G02720	19.5754	23.7815	41.446	22.036	20.003	20.7786	18.9708	13.4506
AT1G02730	38.2052	47.3467	38.7839	31.6567	26.5346	38.8231	42.7595	26.5319
AT1G02740	21.7978	27.5	29.5692	23.2271	24.2894	19.8532	21.5518	13.8198
AT1G02750	16.502	23.1329	26.3747	15.7596	13.9307	15.7732	12.0019	11.1824
AT1G02760	2.12776	2.63758	0.655272	1.60345	2.39832	1.34598	0.774318	1.74066
AT1G02770	11.9155	15.2201	14.416	10.6286	10.2567	13.8804	13.9807	8.38684
AT1G02780	9.07846	15.6093	19.9449	12.0946	11.6854	20.6524	16.4327	11.6572
AT1G02790	12.7193	11.8907	11.0577	13.1941	12.655	12.9971	15.4433	12.5011
AT1G02800	16.3129	23.2194	24.8184	25.3345	20.8705	22.6293	21.0787	22.0484
AT1G02810	12.5774	20.8412	27.0709	20.3409	19.4927	18.8437	20.8636	14.9275
AT1G02813	6.99798	7.43711	8.92809	9.48325	6.37851	3.40701	5.80738	5.1165
AT1G02816	8.41649	15.0472	24.2451	15.2557	9.23609	20.2318	10.2812	9.17805
AT1G02820	6.43057	11.2421	9.41954	9.39163	6.22543	8.74888	6.49567	5.90771
AT1G02830	4.96478	5.88051	5.48791	5.26847	2.09215	5.46805	4.43082	3.0066
AT1G02840	25.1076	44.2768	35.139	27.8084	22.5034	22.4611	23.1435	17.6704
AT1G02850	25.0603	27.5	22.7298	19.5621	22.6565	23.6809	29.4671	22.1539
AT1G02860	16.171	25.0786	21.7059	16.3094	14.1858	18.8017	17.078	13.3451
AT1G02870	9.55129	13.3176	21.0916	12.5985	7.96039	11.4408	10.4533	11.2352
AT1G02880	15.2253	22.2681	23.4669	10.7202	12.9101	15.5629	9.93708	11.4989
AT1G02890	59.7665	80.2949	61.1041	45.2631	40.1081	56.2788	58.1599	40.51
AT1G02900	5.34305	7.13444	12.9007	8.61281	6.63365	5.72042	6.23756	4.53628
AT1G02910	23.9255	31.3915	25.5556	21.0281	9.28712	22.1666	20.0462	16.8792
AT1G02920	7.18711	8.56133	11.713	11.7739	6.42954	13.2074	11.9589	7.27914
AT1G02930	11.5372	9.46935	9.21477	10.6286	9.54226	12.1138	8.13034	10.9715
AT1G02940	9.22031	9.55583	7.82231	8.88769	6.93982	10.3472	8.86164	7.85936
AT1G02950	10.3078	11.4583	7.24895	9.43744	10.971	9.59012	8.94767	7.96486
AT1G02952	6.43057	10.3774	5.81554	8.61281	8.87889	7.82351	7.44205	6.43518
AT1G02960	20.5211	27.9324	29.9378	20.2035	19.4417	22.5452	24.1329	19.622
AT1G02965	6.99798	12.5393	13.1054	10.4911	10.2567	8.03382	9.2488	6.75167
AT1G02970	17.5422	26.765	30.5521	23.1813	17.2985	24.7324	26.9721	19.7275
AT1G02980	28.4175	35.0236	28.0538	36.5128	17.6557	30.0743	34.5862	21.7319
AT1G02990	41.7042	59.7563	45.8281	44.8508	29.3922	41.1786	45.3836	35.71
AT1G03000	34.4225	50.5464	38.9068	33.9931	26.4836	37.351	35.5756	30.9627
AT1G03010	17.2112	26.592	28.0129	23.731	24.1363	22.8396	23.6167	16.9847
AT1G03020	4.16096	4.79953	4.58691	3.75665	6.27646	3.99588	5.37721	3.63957
AT1G03030	15.6982	31.0889	33.2551	19.4704	15.9718	16.1097	21.3368	16.7209
AT1G03040	21.4195	31.9536	36.9	19.6537	16.4821	27.0879	22.9284	17.5649
AT1G03050	13.7123	21.7492	22.7298	24.464	18.5232	20.6103	18.5406	14.9803
AT1G03055	7.89637	25.2516	16.6275	13.0108	9.54226	12.9551	11.9589	8.33409
AT1G03060	132.063	179.139	91.82	108.897	84.0943	108.436	125.482	88.6156
AT1G03070	11.4426	16.1282	18.3886	12.8276	14.2368	13.3757	14.0668	9.96926
AT1G03080	53.4778	72.901	49.555	43.3389	42.0472	52.7036	52.1804	38.9803
AT1G03090	40.8531	49.206	46.5653	38.3911	22.5034	75.7956	42.7165	27.7979
AT1G03100	24.8712	29.9214	24.1632	22.5399	18.3191	28.8124	28.9509	18.0396
AT1G03103	8.27463	6.52909	6.18413	6.4138	7.65422	7.36083	6.49567	8.0176
AT1G03106	9.59858	11.1557	11.6311	10.033	8.21553	5.55217	9.93708	3.63957
AT1G03110	26.4315	33.8562	22.484	20.4325	17.4006	19.5167	23.1005	16.1407
AT1G03120	9.88228	11.934	15.3579	8.88769	9.13403	16.6986	9.11974	5.90771
AT1G03130	13.2867	10.5071	9.66527	8.9335	5.66412	88.5403	6.02247	9.07255
AT1G03140	13.3813	29.662	36.3267	16.401	15.6656	37.9398	17.4221	19.2001
AT1G03150	17.7786	18.3766	19.2077	11.9571	11.8896	16.3621	15.9595	12.7121
AT1G03160	45.5814	60.5779	46.7291	41.369	30.6169	40.1691	39.3612	31.332
AT1G03165	7.56538	12.7555	5.93841	6.55123	6.5316	6.64578	10.4963	5.38023
AT1G03170	12.2937	15.4363	13.3921	12.7818	13.7266	14.3852	17.3361	13.9781
AT1G03180	14.3742	25.7705	26.8252	20.1576	15.4105	13.7122	14.3679	10.9715
AT1G03190	33.7605	52.5354	40.4221	34.2222	30.3617	35.7947	35.0594	28.1144
AT1G03200	9.83499	8.82076	9.46049	13.4232	9.54226	7.57114	8.5175	8.43958
AT1G03210	10.166	13.1879	17.0371	11.1783	10.7669	11.567	9.07672	10.9187
AT1G03220	12.7193	19.1117	34.3608	20.1118	20.9726	25.3633	12.174	16.7209
AT1G03230	13.7595	17.901	25.2689	18.8749	16.7882	17.7501	10.9695	11.6044
AT1G03240	5.86317	6.39938	6.96227	6.32217	4.84767	3.57526	4.43082	5.22199
AT1G03250	10.828	22.3546	25.3918	16.2177	14.3389	13.9225	17.4221	11.2879
AT1G03260	29.4577	39.6502	46.1967	20.6158	15.9718	23.5126	22.0681	17.4594
AT1G03270	31.0181	37.5747	41.9374	22.0818	26.8408	26.4149	28.1335	17.0374
AT1G03280	28.6066	46.0063	28.0538	29.5035	24.7997	30.2425	32.2632	22.5231
AT1G03290	42.177	67.9285	47.0567	43.1557	38.6793	50.8949	47.2764	34.0221
AT1G03300	20.6157	23.6085	23.385	17.5005	17.5537	22.0404	19.2289	12.9759
