ID	ATX1-TAG-rep2	ATX2-TAG-rep2	ATX3-TAG-rep2	ATX4-TAG-rep2	ATX5-TAG-rep2	ATXR3-TAG-rep2	ATXR7-TAG-rep2	WT-rep2	
AT1G02620	4.82293	5.66431	4.21832	3.34434	3.16374	4.92124	2.66709	2.90111	
AT1G02630	2.36418	3.37264	3.44018	3.71084	5.20487	2.69196	4.81798	2.84836	
AT1G02640	2.12776	3.32941	3.27636	3.9399	3.01066	8.70682	3.95762	3.1121	
AT1G02650	4.01911	5.83727	7.208	7.28424	3.92916	5.38392	3.31236	2.69012	
AT1G02660	1.04024	3.97799	4.99645	4.16897	3.46991	11.8194	1.84976	1.95165	
AT1G02670	4.72836	4.58334	5.24218	4.30641	5.56206	4.37444	3.44141	3.42858	
AT1G02680	5.24848	7.73979	17.2828	5.77242	5.51104	5.55217	4.64591	3.16484	
AT1G02681	5.57947	3.37264	5.77459	4.16897	1.68393	4.08001	5.8504	3.21759	
AT1G02690	3.92454	7.56683	14.416	4.30641	4.33739	3.36495	3.18331	3.48133	
AT1G02700	4.9175	1.55661	2.29345	2.93202	0.204112	2.90227	2.02183	2.21539	
AT1G02705	4.6338	5.88051	5.11931	6.50542	6.83777	6.01485	4.08668	2.84836	
AT1G02720	4.11368	4.71305	5.03741	3.29852	3.01066	2.9864	3.78555	5.38023	
AT1G02730	4.53923	5.14545	4.58691	3.5734	5.20487	4.62681	4.21573	3.53408	
AT1G02740	3.64084	7.69655	16.177	4.07734	8.1645	5.17361	3.22632	1.1077	
AT1G02750	5.57947	10.68	14.6617	4.39803	5.66412	5.72042	3.01124	2.84836	
AT1G02770	4.58651	5.57784	4.505	1.83251	1.78598	3.07052	3.05425	2.47913	
AT1G02780	3.64084	3.19969	10.8529	4.6271	4.69459	9.00125	2.58106	4.0088	
AT1G02790	1.84406	2.29167	2.00677	2.79458	3.623	2.86021	4.08668	2.90111	
AT1G02800	3.82997	5.10221	4.30022	5.08522	6.78674	4.16413	4.00064	5.69672	
AT1G02810	2.26961	3.41588	4.58691	4.26059	2.29627	2.69196	2.45201	2.32089	
AT1G02813	4.72836	4.58334	4.87359	6.4138	5.40898	2.86021	4.64591	3.16484	
AT1G02816	2.41146	2.7673	9.00999	5.77242	3.98019	6.60372	1.97881	3.32309	
AT1G02820	4.82293	6.26966	5.28313	5.3601	2.44935	5.55217	3.14029	3.05935	
AT1G02830	4.06639	5.88051	5.44695	4.94778	1.6329	3.74351	3.48443	3.1121	
AT1G02840	1.70221	6.18318	11.8768	5.49754	2.09215	2.9864	2.02183	4.0088	
AT1G02850	8.55834	4.5401	6.10222	2.97783	4.84767	5.51011	3.05425	5.27474	
AT1G02860	3.40442	5.57784	5.406	2.38227	2.70449	3.91176	1.84976	1.84616	
AT1G02870	1.18209	5.05897	12.6549	4.94778	2.95963	3.32289	2.36597	3.16484	
AT1G02880	3.59356	7.43711	12.9826	4.30641	3.52094	4.87918	2.49502	3.53408	
AT1G02890	3.68812	5.44812	11.1396	2.61133	3.57197	6.09898	2.75313	3.48133	
AT1G02900	2.41146	4.62658	6.7575	3.52759	3.31683	3.49114	2.9252	2.63737	
AT1G02910	7.56538	6.22642	9.74718	6.50542	2.65346	5.51011	2.9252	2.74286	
AT1G02920	3.30985	2.94025	2.74395	4.67291	3.16374	5.13155	4.47384	4.64177	
AT1G02930	3.64084	3.15645	3.31732	3.48177	5.81721	3.49114	3.31236	4.58902	
AT1G02940	3.87726	5.3184	3.80877	4.76453	2.09215	4.79506	3.69952	3.74507	
AT1G02950	3.168	2.89702	2.90777	5.13104	4.5415	2.43959	3.6565	2.74286	
AT1G02952	3.78269	5.36164	4.21832	3.06946	5.97029	4.62681	4.47384	4.06155	
AT1G02960	2.17505	4.88601	11.0168	3.29852	3.11271	2.22928	2.79615	3.74507	
AT1G02965	2.69517	4.45362	4.91454	4.67291	2.39832	3.11258	2.53804	2.63737	
AT1G02970	3.73541	4.66982	13.3921	2.93202	4.94973	3.91176	3.18331	3.69232	
AT1G02980	3.64084	5.96699	5.406	7.05517	1.12262	3.44908	4.17271	3.1121	
AT1G02990	3.59356	4.5401	11.2625	6.09311	2.04112	3.95382	3.01124	2.32089	
AT1G03000	1.93863	5.3184	9.17381	2.65714	4.23533	4.33238	2.15088	2.26814	
AT1G03010	4.96478	3.58884	2.82586	4.16897	3.87814	4.08001	3.39839	1.89891	
AT1G03020	2.93158	3.80504	4.0545	3.2069	4.74561	3.36495	4.00064	2.0044	
AT1G03030	3.35714	6.57233	13.515	3.5734	5.30692	3.95382	4.00064	3.85056	
AT1G03040	3.64084	6.05347	14.3341	4.85616	3.36786	5.34186	4.04366	3.48133	
AT1G03050	1.18209	4.58334	4.0545	4.12315	2.04112	3.32289	3.18331	1.47693	
AT1G03055	2.36418	12.0637	6.79845	4.71872	4.38842	3.78557	2.83917	2.74286	
AT1G03060	4.58651	4.66982	10.2386	4.44384	4.59253	3.40701	3.35538	2.90111	
AT1G03070	5.81589	5.27516	7.37181	4.90197	5.76618	3.44908	3.39839	2.0044	
AT1G03080	1.89135	3.97799	5.97936	3.29852	3.67402	2.3134	2.06485	1.95165	
AT1G03090	3.40442	8.0857	19.1667	4.48966	2.9086	13.9646	3.82857	5.011	
AT1G03100	5.67404	5.49136	6.42986	4.26059	5.40898	2.86021	3.87159	1.68792	
AT1G03103	3.87726	4.75629	4.34118	3.61921	4.23533	5.42599	3.57047	3.74507	
AT1G03106	5.4849	5.66431	8.02709	6.13892	5.46001	3.74351	5.29117	2.79561	
AT1G03110	6.43057	6.87501	10.2386	5.63498	5.15384	3.28083	4.90401	2.37363	
AT1G03120	4.01911	6.13994	7.49468	4.03153	3.623	2.77609	5.1191	1.95165	
AT1G03130	5.05935	7.22092	6.22509	5.22266	2.70449	40.085	4.55987	6.38244	
AT1G03140	2.97887	7.39388	19.1258	3.61921	6.78674	7.0664	4.90401	5.80221	
AT1G03150	4.16096	6.0967	13.8426	3.43596	5.30692	5.13155	4.00064	4.64177	
AT1G03160	4.35009	7.04796	16.5866	5.22266	4.79664	6.72991	2.96822	3.48133	
AT1G03165	2.45875	7.22092	3.39923	4.12315	2.34729	4.71093	4.81798	3.69232	
AT1G03170	3.26257	1.90252	2.37536	3.71084	3.77608	2.3134	4.86099	2.58462	
AT1G03180	7.28168	6.01023	13.7198	5.90985	3.57197	3.23877	3.09727	2.32089	
AT1G03190	6.19416	8.25866	12.9416	4.44384	5.76618	4.54269	2.53804	3.58682	
AT1G03200	3.02615	6.3129	6.34795	4.07734	4.49047	3.15464	3.09727	3.79781	
AT1G03210	3.87726	4.36714	7.90422	4.39803	3.623	2.81815	2.83917	3.90331	
AT1G03220	2.69517	3.63208	5.406	3.66503	6.22543	3.8697	2.36597	5.06375	
AT1G03230	4.77565	3.19969	2.86682	2.47389	3.82711	3.74351	1.80674	1.95165	
AT1G03240	4.11368	5.14545	6.92131	5.63498	3.2658	2.60784	3.69952	4.43078	
AT1G03250	3.40442	6.65881	12.0406	4.30641	3.41888	4.79506	4.60289	2.42638	
AT1G03260	5.24848	8.21542	21.7878	5.31429	3.06169	5.97279	2.96822	3.21759	
AT1G03270	3.68812	7.0912	18.7572	4.07734	6.5316	5.76248	4.55987	3.05935	
