ID	H3_WT	H3_atx34	H3_atx3-1	H3_atx3-145	K4me2_WT	K4me2_atx45	K4me2_atx3-1	K4me2_atx3-145	K4me3_WT	K4me3_atx45	K4me3_atx3-1	K4me3_atx3-145	
AT1G02460	18.6409	19.5814	19.4095	17.4843	21.8587	10.2939	20.0213	9.13384	11.5147	6.45581	9.8766	14.7045
AT1G02470	11.4354	12.6273	10.8841	9.39189	15.3602	7.27233	12.4517	7.829	8.5983	3.69692	4.89299	8.24502
AT1G02475	11.5229	10.2116	11.5093	9.12608	31.4355	38.2565	24.8138	38.5796	43.1424	65.4961	58.3535	39.9122
AT1G02480	0.466752	0.402609	0.483107	0.324877	0.652963	0.665777	0.895806	1.08736	1.35763	0.551779	1.44978	1.52297
AT1G02490	3.00472	2.96466	2.75655	2.62855	24.9059	5.47985	19.9317	3.52305	3.1678	1.15874	3.85097	2.78335
AT1G02500	18.6701	18.0076	18.8128	17.8682	28.0463	30.3697	26.2471	34.8826	42.2373	58.1023	51.014	42.0654
AT1G02510	9.53925	9.26	9.15062	8.7126	77.4227	21.7658	62.8856	6.04573	6.28531	3.58656	6.38807	7.08967
AT1G02520	49.8841	45.7876	47.2308	46.9004	85.6003	51.3672	73.904	21.8342	26.2977	12.7461	20.6593	27.781
AT1G02530	47.6671	43.6647	46.3499	45.8076	91.7257	65.3997	78.7413	18.7461	22.3757	11.8081	19.6173	24.3675
AT1G02540	10.3561	11.1632	9.20745	10.9277	9.07929	3.68738	7.97267	2.13123	4.62599	1.60016	3.66974	4.14877
AT1G02550	8.45988	8.74759	7.78655	8.88981	25.7143	7.93811	19.1702	1.78327	3.97231	1.37945	4.03219	3.93871
AT1G02560	17.124	17.8612	15.09	16.2143	25.1857	34.3643	25.2617	43.2335	50.2825	71.1794	61.1171	44.1135
AT1G02570	9.91848	10.9802	10.1737	9.77584	21.7032	5.73592	22.3056	3.47956	4.27401	3.80727	4.80238	5.5667
AT1G02575	11.1437	12.0051	10.8557	9.89397	20.1797	8.2966	18.7671	4.6974	4.67627	2.20711	4.80238	6.14438
AT1G02580	30.9223	31.0741	31.0894	28.4415	20.1175	13.1107	18.4088	8.13347	14.4813	4.7453	12.5949	20.7964
AT1G02590	3.90905	3.95288	2.9839	3.16017	11.5668	3.78981	11.6007	1.52231	2.8661	1.32427	1.94814	4.46387
AT1G02600	0.700128	0.402609	0.539943	0.41348	0.870617	0.512136	0.851015	0.304461	0.955367	0.496601	0.634277	1.73303
AT1G02610	15.7237	16.873	13.9248	12.4635	38.929	11.8303	35.25	14.8316	19.5599	11.477	23.5135	17.7504
AT1G02620	14.7319	15.0795	14.1522	13.6153	72.4789	33.7498	66.2896	8.87287	13.5763	5.95921	13.8635	9.08528
AT1G02630	17.1531	16.873	17.1645	16.3324	15.4535	5.53107	17.6922	5.4803	8.19604	4.41423	7.29418	10.0831
AT1G02640	18.9035	17.7514	19.4948	16.3029	97.5091	54.2352	81.9214	41.4502	26.7503	21.6849	26.6396	23.2121
AT1G02650	14.7319	13.7985	12.2766	13.379	110.537	64.9388	100.285	18.9201	44.6508	48.0047	43.448	11.6061
AT1G02660	21.4414	20.0206	20.461	19.3449	65.7627	80.7638	67.1854	95.4704	56.1152	65.5513	58.5347	39.6496
AT1G02670	34.1896	33.3433	33.6186	33.226	114.579	108.009	95.896	70.5045	25.0407	21.0779	18.7112	22.6344
AT1G02680	9.10167	10.724	9.9179	8.4468	16.3241	21.7658	13.9298	22.1822	30.2198	45.5217	35.7007	28.0961
AT1G02681	5.36765	5.81952	5.76887	4.63688	9.07929	3.17524	9.04764	3.21859	3.92203	1.54498	2.40119	3.62361
AT1G02690	24.0086	25.9134	22.9334	23.5683	88.2743	112.516	80.6673	103.952	33.4881	31.7273	26.0507	27.2558
AT1G02700	11.873	10.5776	11.2536	10.2484	43.6552	15.1592	37.0864	4.52342	8.44745	3.75209	7.33949	7.08967
AT1G02705	8.78078	8.49138	9.09378	9.89397	35.4465	10.0891	34.0406	3.74052	6.93898	5.40743	7.29418	7.24722
AT1G02710	5.45517	5.85613	6.39406	7.08822	30.7825	7.93811	28.6658	2.91413	4.97796	4.08316	5.7538	4.77896
AT1G02720	18.145	17.9344	17.5339	16.2143	64.8921	74.7206	62.1241	111.737	75.0214	105.059	76.3851	57.7152
AT1G02730	38.332	38.138	37.9949	38.6603	184.229	246.132	144.673	255.921	50.1819	62.1855	57.991	53.1988
AT1G02740	19.1952	19.7278	17.0508	17.6615	37.6542	52.1866	36.728	72.8967	34.5943	46.4046	40.4125	34.2405
AT1G02750	11.3479	12.6273	10.7704	11.4002	18.8115	28.526	21.0962	33.3168	32.5328	51.7017	38.4191	30.7219
AT1G02760	1.10854	1.53723	0.994632	1.18137	0.870617	0.768204	0.985386	0.521934	0.905084	0.606956	0.49836	0.892773
AT1G02770	14.2068	14.9697	14.8626	14.3241	22.0453	15.2616	18.1401	7.13309	9.50339	3.80727	7.4301	9.87302
AT1G02780	11.9605	11.0534	12.0208	9.5691	9.23476	12.9058	10.3913	15.658	51.0367	67.8136	61.1171	45.1113
AT1G02790	15.7821	17.0926	15.7436	16.2438	9.88772	7.73325	10.4361	4.56692	7.34124	3.36585	6.20685	9.82051
AT1G02800	22.4333	21.0455	20.0347	18.6066	112.527	39.2296	98.8522	28.0539	20.9175	11.3115	21.1124	20.3762
AT1G02810	17.8533	17.0926	17.7613	16.2143	90.6064	56.4374	69.8728	18.7461	22.3254	19.9744	19.4814	18.4331
AT1G02813	4.55083	4.31889	3.80802	3.72132	39.0534	9.0648	35.5635	3.08811	4.0226	1.54498	3.53383	3.41354
